和名,正式名,a,b,,,,,,,,,,,,,,,,
ヨゴレアオダイ,Paracaesio sordida,16.1712,2.4190,,,,,,,,,,,,,,,,
ヒフキアイゴ,Siganus unimaculatus,2.5928,2.9692,,,,,,,,,,,,,,,,
ハナアイゴ,Siganus argenteus,3.6433,2.8075,,,,,,,,,,,,,,,,
アイゴ,Siganus fuscescens,1.1626,3.1363,,,,,,,,,,,,,,,,
ゴマアイゴ,Siganus guttatus,0.9843,3.2665,,,,,,,,,,,,,,,,
ヒメアイゴ,Siganus virgatus,2.2899,3.0383,,,,,,,,,,,,,,,,
マジリアイゴ,Siganus puellus,19.7891,2.2757,,,,,,,,,,,,,,,,
ブチアイゴ,Siganus punctatus,2.3155,3.0268,,,,,,,,,,,,,,,,
サンゴアイゴ,Siganus corallinus,2.2932,3.0415,,,,,,,,,,,,,,,,
モンツキアカヒメジ,Mulloidichthys flavolineatus,1.9727,2.9552,,,,,,,,,,,,,,,,
アカヒメジ,Mulloidichthys vanicolensis,0.9798,3.2300,,,,,,,,,,,,,,,,
オオスジヒメジ,Parupeneus barberinus,5.1697,2.7274,,,,,,,,,,,,,,,,
コバンヒメジ,Parupeneus indicus,2.5772,2.9509,,,,,,,,,,,,,,,,
マルクチヒメジ,Parupeneus cyclostomus,1.3777,3.1171,,,,,,,,,,,,,,,,
ホウライヒメジ,Parupeneus ciliatus,1.5656,3.1179,,,,,,,,,,,,,,,,
ホシミゾイサキ,Pomadasys argenteus,1.9259,2.9637,,,,,,,,,,,,,,,,
コロダイ,Diagramma pictum,1.4270,3.0112,,,,,,,,,,,,,,,,
チョウチョウコショウダイ,Plectorhinchus chaetodonoides,2.5355,2.9581,,,,,,,,,,,,,,,,
クロコショウダイ,Plectorhinchus gibbosus,2.0664,3.0215,,,,,,,,,,,,,,,,
アジアコショウダイ,Plectorhinchus picus,2.4978,2.8815,,,,,,,,,,,,,,,,
アヤコショウダイ,Plectorhinchus lineatus,1.0795,3.1455,,,,,,,,,,,,,,,,
ヒレグロコショウダイ,Plectorhinchus lessonii,4.9929,2.7241,,,,,,,,,,,,,,,,
ムスジコショウダイ,Plectorhinchus orientalis,0.8636,3.1842,,,,,,,,,,,,,,,,
ナンヨウチヌ,Acanthopagrus berda,2.1838,3.0750,,,,,,,,,,,,,,,,
ミナミクロダイ,Acanthopagrus sivicolus,2.0159,3.0346,,,,,,,,,,,,,,,,
キビレアカレンコ,Dentex  sp.,8.8221,2.6381,,,,,,,,,,,,,,,,
ササムロ,Caesio caerulaurea,17.1921,2.3654,,,,,,,,,,,,,,,,
ユメウメイロ,Caesio cuning,5.3975,2.7466,,,,,,,,,,,,,,,,
ウメイロモドキ,Caesio teres,8.1027,2.6156,,,,,,,,,,,,,,,,
タカサゴ,Pterocaesio diagramma,5.8772,2.6199,,,,,,,,,,,,,,,,
ニセタカサゴ,Pterocaesio marri,1.3364,3.1558,,,,,,,,,,,,,,,,
テングハギ,Naso unicornis,2.5246,2.9671,,,,,,,,,,,,,,,,
メガネモチノウオ,Cheilinus undulatus,1.8494,3.0203,,,,,,,,,,,,,,,,
クサビベラ,Choerodon anchorago,7.4755,2.6707,,,,,,,,,,,,,,,,
シロクラベラ,Choerodon schoenleinii,2.2945,2.9838,,,,,,,,,,,,,,,,
トガリエビス,Sargocentron spiniferum,2.8561,2.9591,,,,,,,,,,,,,,,,
ホシカイワリ,Carangoides fulvoguttatus,17.3176,2.4645,,,,,,,,,,,,,,,,
ナンヨウカイワリ,Carangoides orthogrammus,1.7401,3.0478,,,,,,,,,,,,,,,,
ロウニンアジ,Caranx ignobilis,1.9627,3.0090,,,,,,,,,,,,,,,,
カスミアジ,Caranx melampygus,1.4457,3.0667,,,,,,,,,,,,,,,,
オニヒラアジ,Caranx papuensis,2.8340,2.8689,,,,,,,,,,,,,,,,
コガネシマアジ,Gnathanodon speciosus,4.5447,2.7798,,,,,,,,,,,,,,,,
ヒレナガカンパチ,Seriola rivoliana,4.2201,2.7575,,,,,,,,,,,,,,,,
ヒトヅラハリセンボン,Diodon liturosus,6.6624,2.6542,,,,,,,,,,,,,,,,
ネズミフグ,Diodon hystrix,3.7239,2.7697,,,,,,,,,,,,,,,,
